,Taxonomic ID,Organism Name,Functional Repertoire Size,HabitatPreference,TemperaturePreference,OxygenPreference
uid58167,329726,Acaryochloris marina MBIC11017,4548,Marine,Mesophile,Aerobe
uid59279,634452,Acetobacter pasteurianus IFO 3283 01,2067,,,Aerobe
uid51423,574087,Acetohalobium arabaticum DSM 5501,1810,Fresh water,Mesophile,Anaerobe
uid58901,441768,Acholeplasma laidlawii PG 8A,1213,"Multi (Host, Soil, Wastewater)",Mesophile,Facultative
uid59899,762376,Achromobacter xylosoxidans A8,3885,Host,,Aerobe
uid43471,591001,Acidaminococcus fermentans DSM 20731,1677,"Host (Host, Intestinal tract)",Mesophile,Anaerobe
uid74445,568816,Acidaminococcus intestini RyC MR95,1911,,,
uid59215,525909,Acidimicrobium ferrooxidans DSM 10331,1648,Fresh water,Thermophile,Aerobe
uid58447,349163,Acidiphilium cryptum JF 5,2379,"Fresh water (Acid mine drainage, Fresh water, Hydrothermal vent)",Mesophile,Aerobe
uid63345,926570,Acidiphilium multivorum AIU301,2532,,,
uid70791,990288,Acidithiobacillus caldus SM 1,2217,,Thermophile,
uid67387,743299,Acidithiobacillus ferrivorans SS3,2496,,Psychrophile (Psychrotolerant),
uid57649,243159,Acidithiobacillus ferrooxidans ATCC 23270,2590,Other (Acid mine drainage),Mesophile,Aerobe (Obligate aerobe)
uid58613,380394,Acidithiobacillus ferrooxidans ATCC 53993,2187,Other (Acid mine drainage),Mesophile,Aerobe (Obligate aerobe)
uid59127,240015,Acidobacterium capsulatum ATCC 51196,2767,"Multi (Acid mine drainage, Fresh water, Soil)",Mesophile,Aerobe
uid50551,940615,Acidobacterium MP5ACTX9,3018,,,
uid58501,351607,Acidothermus cellulolyticus 11B,1808,"Fresh water (Fresh water, Hot spring)",Thermophile,Aerobe
uid42497,643561,Acidovorax avenae ATCC 19860,3385,Host,Mesophile,Aerobe
uid58429,397945,Acidovorax citrulli AAC00 1,3434,Host,Mesophile,Aerobe
uid59233,535289,Acidovorax ebreus TPSY,2667,Fresh water,Mesophile,Facultative
uid58427,232721,Acidovorax JS42,2926,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid61597,62977,Acinetobacter ADP1,2638,"Multi (Food, Fresh water, Human skin, Soil, Host)",Mesophile,Aerobe
uid59083,480119,Acinetobacter baumannii AB0057,2855,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid59271,557600,Acinetobacter baumannii AB307 0294,2671,Host,Mesophile,Aerobe
uid58765,405416,Acinetobacter baumannii ACICU,2826,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid58731,400667,Acinetobacter baumannii ATCC 17978,2460,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid61637,509173,Acinetobacter baumannii AYE,2768,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid61601,509170,Acinetobacter baumannii SDF,2232,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid50119,436717,Acinetobacter DR1,2966,Soil,Mesophile,Aerobe
uid58891,434271,Actinobacillus pleuropneumoniae serovar 3 JL03,1748,"Host (Host, Respiratory tract)",Mesophile,Facultative
uid58789,416269,Actinobacillus pleuropneumoniae serovar 5b L20,1724,"Host (Host, Respiratory tract)",Mesophile,Facultative
uid59231,537457,Actinobacillus pleuropneumoniae serovar 7 AP76,1796,"Host (Host, Respiratory tract)",Mesophile,Facultative
uid58247,339671,Actinobacillus succinogenes 130Z,1774,"Host (Bovine rumen, Host)",Mesophile,Facultative
uid58951,446462,Actinosynnema mirum DSM 43827,4645,Soil,Mesophile,Aerobe
uid64757,866775,Aerococcus urinae ACS 120 V Col10a,1370,"Human (Host, Human vaginal microflora)",Mesophile,Anaerobe
uid58617,380703,Aeromonas hydrophila ATCC 7966,3224,"Multi (Food, Fresh water, Fresh water, Host, Wastewater)",Mesophile,Facultative
uid58631,382245,Aeromonas salmonicida A449,3175,"Multi (Fresh water, Host)",Psychrophile,Facultative
uid66323,998088,Aeromonas veronii B565,3159,Other (Sediment),Mesophile,Aerobe
uid41333,668336,Aggregatibacter actinomycetemcomitans D11S 1,1832,"Host (Oral microflora, Host)",Mesophile,Facultative
uid59407,634176,Aggregatibacter aphrophilus NJ8700,1936,"Host (Host, Oral microflora)",Mesophile,Facultative
uid63403,861208,Agrobacterium H13 3,2308,Host,,
uid58269,311403,Agrobacterium radiobacter K84,2923,"Host (Host, Root nodule)",Mesophile,Aerobe
uid57865,176299,Agrobacterium tumefaciens C58,2322,"Host (Host, Root nodule)",Mesophile,Aerobe
uid58249,311402,Agrobacterium vitis S4,2587,"Host (Host, Root nodule)",Mesophile,Aerobe
uid58985,349741,Akkermansia muciniphila ATCC BAA 835,1833,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid58169,393595,Alcanivorax borkumensis SK2,2304,Marine,Mesophile,Aerobe
uid49953,596153,Alicycliphilus denitrificans BC,2973,,Mesophile,Facultative
uid66307,596154,Alicycliphilus denitrificans K601,3010,,Mesophile,Facultative
uid59199,521098,Alicyclobacillus acidocaldarius DSM 446,2284,"Other (Hot spring, Aquatic)",Thermophile,Aerobe
uid59251,316275,Aliivibrio salmonicida LFI1238,2171,"Multi (Fresh water, Host)",Psychrophile,Facultative
uid58467,187272,Alkalilimnicola ehrlichii MLHE 1,2383,Fresh water,Mesophile,Anaerobe
uid58171,293826,Alkaliphilus metalliredigens QYMF,3349,Other (Ponds),Mesophile,Anaerobe
uid58495,350688,Alkaliphilus oremlandii OhILAs,2244,"Fresh water (Fresh water, Sediment)",Mesophile,Anaerobe
uid46083,572477,Allochromatium vinosum DSM 180,2438,"Fresh water (Fresh water, Sediment)",Mesophile,Anaerobe
uid58251,314275,Alteromonas macleodii Deep ecotype,2994,"Marine (Deep sea, Marine)",Mesophile,Aerobe
uid67349,715451,Alteromonas SN2,3571,,,
uid47083,572547,Aminobacterium colombiense DSM 12261,1532,"Fresh water (Fresh water, Wastewater)",Mesophile,Anaerobe (Obligate anaerobe)
uid41053,429009,Ammonifex degensii KC4,1675,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe
uid50565,749927,Amycolatopsis mediterranei U32,5367,,,
uid67253,443218,Amycolicicoccus subflavus DQS3 9A1,3364,Soil,,
uid58043,240292,Anabaena variabilis ATCC 29413,3592,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid59219,525919,Anaerococcus prevotii DSM 20548,1456,"Host (Host, Mouth microflora, Skin microflora, Vagina microflora)",Mesophile,Anaerobe
uid62245,926569,Anaerolinea thermophila UNI 1,2478,Fresh water,Thermophile,
uid58989,455488,Anaeromyxobacter dehalogenans 2CP 1,3518,"Soil (Sediment, Soil)",Mesophile,Anaerobe
uid58135,290397,Anaeromyxobacter dehalogenans 2CP C,3399,"Soil (Soil, Terrestrial)",Mesophile,Anaerobe
uid58755,404589,Anaeromyxobacter Fw109 5,3427,"Soil (Terrestrial, Soil)",Mesophile,Anaerobe
uid58953,447217,Anaeromyxobacter K,3472,Soil,Mesophile,Anaerobe
uid42155,574556,Anaplasma centrale Israel,825,Host,Mesophile,Aerobe
uid58577,320483,Anaplasma marginale Florida,832,Host,Mesophile,Aerobe
uid57629,234826,Anaplasma marginale Maries,838,Host,Mesophile,Aerobe
uid57951,212042,Anaplasma phagocytophilum HZ,1066,Host,Mesophile,Aerobe
uid59135,491915,Anoxybacillus flavithermus WK1,2329,"Fresh water (Fresh water, Hot spring)",Thermophile,Facultative
uid57765,224324,Aquifex aeolicus VF5,1357,"Marine (Hot spring, Marine)",Thermophile (Hyperthermophile),Facultative
uid49489,644284,Arcanobacterium haemolyticum DSM 20595,1490,"Host (Blood, Host, Pharyngeal mucosa)",Mesophile,Anaerobe
uid58557,367737,Arcobacter butzleri RM4018,1919,"Multi (Fresh water, Host, Marine)",Mesophile,Aerobe
uid49001,572480,Arcobacter nitrofigilis DSM 7299,2503,Host,Mesophile,Aerobe (Microaerophilic)
uid58231,76114,Aromatoleum aromaticum EbN1,3134,"Multi (Host, Soil, Terrestrial)",Mesophile,Facultative
uid53509,861360,Arthrobacter arilaitensis Re117,2603,Other (Dairy isolate),Mesophile,Aerobe
uid58109,290340,Arthrobacter aurescens TC1,2952,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid58969,452863,Arthrobacter chlorophenolicus A6,2866,Soil,Mesophile,Aerobe
uid58141,290399,Arthrobacter FB24,2991,Soil,Mesophile,Aerobe
uid63629,930171,Arthrobacter phenanthrenivorans Sphe3,2812,Soil,Mesophile,Aerobe
uid58297,322098,Aster yellows witches broom phytoplasma AYWB,428,Host,Mesophile,Aerobe
uid55641,573065,Asticcacaulis excentricus CB 48,1958,Fresh water,Mesophile,Aerobe
uid59195,521095,Atopobium parvulum DSM 20469,1196,"Human (Host, Human airways, Oral microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid61603,62928,Azoarcus BH72,3056,"Multi (Host, Obligate endophyte, Soil)",Mesophile,Facultative
uid58905,438753,Azorhizobium caulinodans ORS 571,3279,Host,Mesophile,
uid46085,137722,Azospirillum B510,2261,"Soil (Rhizosphere, Soil, Terrestrial)",Mesophile,Facultative
uid57597,322710,Azotobacter vinelandii DJ,3622,Soil,Mesophile,Aerobe
uid53535,692420,Bacillus amyloliquefaciens DSM 7,3009,Soil,Mesophile,Aerobe
uid58271,326423,Bacillus amyloliquefaciens FZB42,2849,"Soil (Rhizosphere-colonizing, Soil, Terrestrial)",Mesophile,Aerobe
uid59385,592021,Bacillus anthracis A0248,3854,Host,Mesophile,Facultative
uid57909,198094,Bacillus anthracis Ames,4031,Soil,Mesophile,Aerobe
uid58083,261594,Bacillus anthracis Ames Ancestor,3978,"Multi (Soil, Host)",Mesophile,Facultative
uid59303,568206,Bacillus anthracis CDC 684,4060,"Multi (Soil, Host)",Mesophile,Aerobe
uid58091,260799,Bacillus anthracis Sterne,3824,Soil,Mesophile,Facultative
uid59887,720555,Bacillus atrophaeus 1942,3289,Soil,Mesophile,Facultative
uid43329,649639,Bacillus cellulosilyticus DSM 2522,3414,Soil,Mesophile,Facultative
uid59299,572264,Bacillus cereus 03BB102,4046,"Multi (Soil, Host)",Mesophile,Facultative
uid58753,405534,Bacillus cereus AH187,4052,"Multi (Host, Soil)",Mesophile,Facultative
uid58751,405535,Bacillus cereus AH820,4065,"Multi (Soil, Host)",Mesophile,Facultative
