bioproject_id,bioproject_title,bioproject_description,bioproject_submission_date,bioproject_submission_organization,bioproject_organism
PRJEB11419,American Gut Project,"The American Gut project is the largest crowdsourced citizen science project to date. Fecal, oral, skin, and other body site samples collected from thousands of participants represent the largest human microbiome cohort in existence. Detailed health and lifestyle and diet data associated with each sample is enabling us to deeply examine associations between the human microbiome and factors such as diet (from vegan to near carnivore and everything in between), season, amount of sleep, and disease states such as IBD, diabetes, or autism spectrum disorder-as well as many other factors not listed here. The American Gut project also encompasses the British Gut and Australian Gut projects, widening the cohort beyond North America. As the project continues to grow, we will be able to identify significant associations that would not be possible with smaller, geographically and health/disease status-limited cohorts.",2015-10-15,UCSDMI,NA
PRJEB23282,Bacterial and fungal microbiota associated with flower pollen,"Diverse microorganisms colonise the different plant-microhabitats, such as rhizosphere, and phyllosphere, and play key roles for the host. However, bacteria and fungi associated with pollen are poorly investigated, despite its ecological, commercial and medical relevance. Due to its structure and nutritive composition, pollen provides a unique microhabitat. Here, we examine the bacterial and fungal abundance, community structure, diversity and colonization pattern of pollens, using high-throughput sequencing. The pollens were collected from eight different plant species in the region of Giessen (Germany).",2019-01-11,"Research Center for Bio Systems, Land Use, and Nutrition (IFZ)",NA
PRJEB30970,Highly diverse aquatic microbial communities separated by permafrost in Greenland show distinct features according to environmental niches,"The microbial diversity of aquatic habitats above and below the permafrost layer in the Kangerlussuaq Area, Western Greenland, was studied by amplicon sequencing of the bacterial and archaeal 16S rRNA genes and fungal ITS1 region. The aquatic habitats included pond and lake water, glacier ice and melt water, permafrost active layer melt water and deep groundwater.",2019-03-25,VTT,NA
PRJEB31590,"Oil exposed bacterial, archaeal and fungal communities in water and sediment of Baltic Sea coastal area.","Two long-term potentially oil exposed Baltic Sea coastal sites near old oil refineries and harbours were compared to nearby less exposed sites in terms of bacterial, archaeal and fungal microbiomes and oil degradation potential. The bacterial, archaeal and fungal diversities were similar in oil exposed and less exposed sampling sites based on bacterial and archaeal 16S rRNA gene and fungal 5.8S rRNA gene amplicon sequencing from both DNA and RNA fractions. The active community (based on RNA) of the coastal Baltic Sea water differed largely from the total community (based on DNA). The most noticeable this difference was in case of bacterial water samples were the active community was dominated by Cyanobacteria and Proteobacteria whereas in total bacterial community Actinobacteria was the most abundant phylum. The abundance, richness and diversity of Fungi present in water and sediment samples was in general lower than that of Bacteria and Archaea. Furthermore, the sampling location influenced the fungal community composition, whereas the bacterial and archaeal communities were not influenced. This may indicate that those fungal species that are adaptable to the Baltic Sea environments are few and that Fungi are potentially more vulnerable to or affected by the Baltic Sea conditions than Bacteria and Archaea.",2019-06-30,VTT,NA
PRJEB32265,Bacterial but not fungal gut microbiota alterations are associated with common variable immunodeficiency (CVID) phenotype,"Common Variable Immunodeficiency (CVID) is the most frequent symptomatic immune disorder characterized by reduced serum immunoglobulins. Patients often suffer from infectious and serious non-infectious complications which impact their life tremendously. The monogenic cause has been revealed in a minority of patients so far, indicating the role of multiple genes and environmental factors in CVID etiology. Using 16S and ITS rRNA amplicon sequencing, we analyzed the bacterial and fungal gut microbiota, respectively, in a group of 55 participants constituting of CVID patients and matched healthy controls including 16 case-control pairs living in the same household, to explore possible associations between gut microbiota composition and disease phenotype. We revealed less diverse and significantly altered bacterial but not fungal gut microbiota in CVID patients, which additionally appeared to be associated with a more severe disease phenotype. The factor of sharing the same household impacted both bacterial and fungal microbiome data significantly, although not as strongly as CVID diagnosis in bacterial assessment. Overall, our results suggest that gut bacterial microbiota is altered in CVID patients and may be one of the missing environmental drivers contributing to some of the symptoms and disease severity. Paired samples serving as controls will provide a better resolution between disease-related dysbiosis and other environmental confounders in future studies.",2019-08-03,Centre for Cardiovascular Surgery and Transplantation,NA
PRJNA241408_PRJNA522449,Human respiratory tract mycobiome and alterations in HIV infection and lung disease Targeted Locus (Loci),"Whether there are resident fungal communities in the respiratory tract is unknown, and wide gaps exist in our understanding of occult fungal infections in chronic lung diseases or in individuals with systemic disease. In this study, we characterized fungal diversity at different levels of the respiratory tract including oral washes (OW), induced sputum (IS) and bronchoalveolar lavages (BAL) from 56 individuals. We also examined relationship of fungal communities to chronic obstructive pulmonary disease and to HIV infection.",2014-03-17,Center for Vaccine Research,human lung metagenome
PRJNA246028_PRJNA256169,Mycobiome analysis in sputum of CF subjects,Characterization and quantification of the fungal microbiome in cystic fibrosis subjects over the course of antibacterial therapy,2014-05-01,Geisel School of Medicine at Dartmouth,human lung metagenome
PRJNA263505,Trace element-contaminated soil Metagenome,We aimed to compare the community structure of fungi and bacteria in the rhizosphere of introduced willows to willow growth and metal uptake.,2014-10-09,University of Montreal,soil metagenome
PRJNA271113,Bacterial and fungal microbiome in children with HSCR and enterocolitis,"Development of potentially life-threatening enterocolitis is the most frequent complication in children with Hirschsprung disease (HSCR), even after definitive corrective surgery. Intestinal microbiota likely contribute to the etiology of enterocolitis, so the aim of this study was to compare the fecal bacterial and fungal communities of children who developed Hirschsprung-associated enterocolitis (HAEC) with HSCR patients who had never had enterocolitis. Eighteen Hirschsprung patients who had completed definitive surgery were enrolled: 9 had a history of HAEC and 9 did not. Fecal DNA was isolated and 16S and ITS-1 regions sequenced using Next Generation Sequencing and data analysis for species identification. The HAEC group bacterial composition showed a modest reduction in Firmicutes and Verrucomicrobia with increased Bacteriodetes and Proteobacteria compared with the HD group. In contrast, the fecal fungi composition of the HAEC group showed marked reduction in diversity with increased Candida sp., and reduced Malassezia and Saccharomyces sp. compared with the HD group. The most striking finding within the HAEC group is that the Candida genus segregated into “high burden” patients with 97.8% C. albicans and 2.2% C. tropicalis compared with “low burden” patients 26.8% C. albicans and 73% C. tropicalis. Interestingly even the low burden HAEC group had altered Candida community structure with just two species compared to more diverse Candida populations in the HSCR patients. This is the first study to identify Candida sp. as potentially playing a role in HAEC either as expanded commensal species as a consequence of enterocolitis (or treatment), or possibly as pathobioants contributing to the pathogenesis of HAEC. These findings suggest a dysbiosis in the gut microbial ecosystem of HAEC patients, such that there may be dominance of fungi and bacteria predisposing patients to development of HAEC.",2014-12-23,Cedars-Sinai Medical Center,human gut metagenome
PRJNA282687,Cuyahoga River multispecies Metagenome,"Analysis of environmental DNA (eDNA) enables identifying the presence of a species of interest in a simple and high-throughput manner. Typically, these analyses are performed by amplifying a short DNA sequence using highly specific primers. Here, we generalized this approach and characterized, by massively parallel sequencing, DNA molecules amplified using primers that are specific of a given taxon, yet provide enough information to identify the species carrying each DNA sequence. We tested this approach by analyzing 90 water samples of 40 mL collected along the Cuyahoga River. We amplified eDNA extracted from each water sample using 13 primer pairs – targeting bacteria, archaea, mammals, fish, algae, amphibians, birds, bryophytes, arthropods, copepods, diatoms, fungi and plants – and simultaneously sequenced all PCR products by high-throughput sequencing. Despite the small sample volumes, we identified DNA sequences from 14 species of fish, 17 species of mammals, 8 species of birds, 15 species of arthropods, one turtle and one salamander. Interestingly, in addition to aquatic and semi-aquatic animal species, we amplified DNA from many terrestrial species that live near the banks of the Cuyahoga River. We also identified DNA from one Asian carp species invasive to the Great Lakes but that has not been reported in the Cuyahoga River. Our study shows that analysis of eDNA extracted from small sample of water by universal amplification combined with massively parallel sequencing can provide a broad perspective on the biological diversity of a given environment.",2015-04-29,Cleveland Clinic Lerner Research Institute,freshwater metagenome
