experiment_id,biosample_id,sample_id,experiment_title,experiment_instrument,experiment_platform
ERX3292239,SAMEA5555377,c3be596ea228,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292238,SAMEA5555376,da86b89fa25f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292237,SAMEA5555375,a8688c0a7727,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292236,SAMEA5555374,9c2242c218dc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292235,SAMEA5555373,e17260a9bec3,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292234,SAMEA5555372,739c9a7dfdec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292233,SAMEA5555371,6c4118c7ae8c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292232,SAMEA5555370,8d68857ef424,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292231,SAMEA5555369,4c3b88a01e57,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292230,SAMEA5555368,140978cad48c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292229,SAMEA5555367,bbe64cff4ead,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292228,SAMEA5555366,5e63cd7f37bf,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292227,SAMEA5555365,c4401dc2f488,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292226,SAMEA5555364,70c4e1373225,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292225,SAMEA5555363,9cdf8d1f98fd,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292224,SAMEA5555362,05bfafb6890d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292223,SAMEA5555361,6d68d9060b92,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292222,SAMEA5555360,e281aa535d06,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292221,SAMEA5555359,2993f4a5011f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292220,SAMEA5555358,5c56afd3bd65,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292219,SAMEA5555357,0732f69c51c7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292218,SAMEA5555356,3a3ce3942580,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292217,SAMEA5555355,5222f6fd9f51,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292216,SAMEA5555354,ccd76dfcb872,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292215,SAMEA5555353,92b0a540671c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292214,SAMEA5555352,8ff14287034b,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292213,SAMEA5555351,dba1f8c99024,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292212,SAMEA5555350,2c9d86cffb69,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292211,SAMEA5555349,271c970f1a3a,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292210,SAMEA5555348,a3d06f14c527,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292209,SAMEA5555347,be7a52fc79ec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292208,SAMEA5555346,e3398c443b7d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292207,SAMEA5555345,ef68932058c7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292206,SAMEA5555344,25a86acdcf49,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292205,SAMEA5555343,61878669f904,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292204,SAMEA5555342,3f31766e69d7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292203,SAMEA5555341,c3be596ea228,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292202,SAMEA5555340,da86b89fa25f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292201,SAMEA5555339,a8688c0a7727,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292200,SAMEA5555338,9c2242c218dc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
