run_id,sample_id,sample_alias,biosample_id,bioproject_id,library_layout,amplicon,experiment_title,experiment_id,experiment_instrument,experiment_platform
ERR1091025,03b835f69db3,10317.000028260,SAMEA3633589,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028260,ERX1170579,Illumina HiSeq 2500,ILLUMINA
NA,03b835f69db3,10317.00002826,SAMEA3633589,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090527,054bf9425227,10317.000023619,SAMEA3633091,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023619,ERX1170081,Illumina MiSeq,ILLUMINA
NA,054bf9425227,10317.000023619,SAMEA3633091,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090406,058f3976404b,10317.000022009,SAMEA3632970,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022009,ERX1169960,Illumina MiSeq,ILLUMINA
NA,058f3976404b,10317.000022009,SAMEA3632970,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090418,06173f9f3387,10317.000022064,SAMEA3632982,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022064,ERX1169972,Illumina MiSeq,ILLUMINA
NA,06173f9f3387,10317.000022064,SAMEA3632982,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090680,08336157c3b9,10317.000028689,SAMEA3633244,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000028689,ERX1170234,Illumina MiSeq,ILLUMINA
NA,08336157c3b9,10317.000028689,SAMEA3633244,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091182,0966920dbaff,10317.000029574,SAMEA3633746,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029574,ERX1170736,Illumina HiSeq 2500,ILLUMINA
NA,0966920dbaff,10317.000029574,SAMEA3633746,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090698,0a9f6629a4a0,10317.000028857,SAMEA3633262,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000028857,ERX1170252,Illumina MiSeq,ILLUMINA
NA,0a9f6629a4a0,10317.000028857,SAMEA3633262,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090426,0ae5866b4071,10317.000022108,SAMEA3632990,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022108,ERX1169980,Illumina MiSeq,ILLUMINA
NA,0ae5866b4071,10317.000022108,SAMEA3632990,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091054,0b2ca74ece8f,10317.000028651,SAMEA3633618,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028651,ERX1170608,Illumina HiSeq 2500,ILLUMINA
NA,0b2ca74ece8f,10317.000028651,SAMEA3633618,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091047,0b5efb6494a9,10317.000028619,SAMEA3633611,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028619,ERX1170601,Illumina HiSeq 2500,ILLUMINA
NA,0b5efb6494a9,10317.000028619,SAMEA3633611,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090447,0d3923a81118,10317.000022251,SAMEA3633011,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022251,ERX1170001,Illumina MiSeq,ILLUMINA
NA,0d3923a81118,10317.000022251,SAMEA3633011,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR2239269,0ef27a39c9e7,10317.000029455,SAMEA3633721,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_4255:10317.000029455,ERX2291429,Illumina HiSeq 2500,ILLUMINA
