sample_id,sample_alias,fun_experiment_id,bac_experiment_id,bioproject_id
3dc73462ace2,10317.000002251,NA,ERX1169772,PRJEB11419
808828c05631,10317.000011984,NA,ERX1169791,PRJEB11419
cc9e0061fd95,10317.000013967,NA,ERX1169810,PRJEB11419
152cb43e45b6,10317.000014008,NA,ERX1169811,PRJEB11419
2643fada9b15,10317.000015304,NA,ERX1169825,PRJEB11419
c79d0240972b,10317.000015641,NA,ERX1169834,PRJEB11419
4dff000e53bd,10317.000016459,NA,ERX1169840,PRJEB11419
7f424b18ac96,10317.000017317,NA,ERX1169888,PRJEB11419
198ad79fc814,10317.000020447,NA,ERX1169904,PRJEB11419
a4d230c6613e,10317.000020490,NA,ERX1169910,PRJEB11419
70c41b21410c,10317.000020502,NA,ERX1169912,PRJEB11419
d0dd03d80d33,10317.000020576,NA,ERX1170355,PRJEB11419
dcb8657d2c9f,10317.000020580,NA,ERX1170357,PRJEB11419
27e7ff02ae00,10317.000020602,NA,ERX1170358,PRJEB11419
cc437a2ce84b,10317.000020604,NA,ERX1169925,PRJEB11419
e34409673c7a,10317.000020641,NA,ERX1170359,PRJEB11419
fa395809803c,10317.000020642,NA,ERX1170360,PRJEB11419
56fed3e7ae2e,10317.000020662,NA,ERX1170361,PRJEB11419
1e34f096ef06,10317.000020695,NA,ERX1169932,PRJEB11419
90b082f7fe20,10317.000021162,NA,ERX1169944,PRJEB11419
9982ea8f5a47,10317.000021223,NA,ERX1169946,PRJEB11419
e186dfafaab3,10317.000021237,NA,ERX1169949,PRJEB11419
45cf40087ed6,10317.000021246,NA,ERX1169950,PRJEB11419
67d3acb411f4,10317.000021526,NA,ERX1169951,PRJEB11419
cdcb998bc1ef,10317.000021963,NA,ERX1169954,PRJEB11419
b7731fa9700d,10317.000021977,NA,ERX1169957,PRJEB11419
fce0152ddcda,10317.000021988,NA,ERX1169959,PRJEB11419
058f3976404b,10317.000022009,NA,ERX1169960,PRJEB11419
bc5bbcb28e7d,10317.000022014,NA,ERX1169962,PRJEB11419
96cbbffddd25,10317.000022015,NA,ERX1169963,PRJEB11419
2c480b0cd35b,10317.000022018,NA,ERX1169964,PRJEB11419
573ba14dac3f,10317.000022022,NA,ERX1169966,PRJEB11419
06173f9f3387,10317.000022064,NA,ERX1169972,PRJEB11419
3f64d7c0c30f,10317.000022065,NA,ERX1169973,PRJEB11419
165b0e2337d2,10317.000022080,NA,ERX1169974,PRJEB11419
f37c9c36a8e3,10317.000022081,NA,ERX1169975,PRJEB11419
e0e074bf0f85,10317.000022092,NA,ERX1169976,PRJEB11419
99d2d1b20f87,10317.000022093,NA,ERX1169977,PRJEB11419
0ae5866b4071,10317.000022108,NA,ERX1169980,PRJEB11419
a91715ae00c0,10317.000022115,NA,ERX1169983,PRJEB11419
958e3b1b549d,10317.000022136,NA,ERX1169986,PRJEB11419
d7b86c40046c,10317.000022142,NA,ERX1169989,PRJEB11419
75912f05ba4c,10317.000022160,NA,ERX1169991,PRJEB11419
f7ccda4111e9,10317.000022163,NA,ERX1169994,PRJEB11419
763cdf7101d3,10317.000022167,NA,ERX1169996,PRJEB11419
2a413f563aa3,10317.000022173,NA,ERX1169998,PRJEB11419
1a2b89e559af,10317.000022250,NA,ERX1170000,PRJEB11419
0d3923a81118,10317.000022251,NA,ERX1170001,PRJEB11419
885f4475c69d,10317.000022262,NA,ERX1170003,PRJEB11419
dd9072de2741,10317.000022263,NA,ERX1170004,PRJEB11419
b886a578ebe7,10317.000022264,NA,ERX1170005,PRJEB11419
e21bb2e4ac05,10317.000022266,NA,ERX1170007,PRJEB11419
cfb76dec423e,10317.000022267,NA,ERX1170008,PRJEB11419
112e108265e3,10317.000022288,NA,ERX1170009,PRJEB11419
f7483b46eb89,10317.000022309,NA,ERX1170014,PRJEB11419
d030302c789b,10317.000022311,NA,ERX1170015,PRJEB11419
43d346953a1d,10317.000022328,NA,ERX1170016,PRJEB11419
510c1e2b5a97,10317.000022329,NA,ERX1170017,PRJEB11419
ec0115128a65,10317.000022330,NA,ERX1170018,PRJEB11419
9b104d35c0f0,10317.000022426,NA,ERX1170021,PRJEB11419
398572d17015,10317.000022457,NA,ERX1170024,PRJEB11419
b759f1fe7906,10317.000022695,NA,ERX1170032,PRJEB11419
df991d0266e4,10317.000022911,NA,ERX1170034,PRJEB11419
b0e6ec03c6a4,10317.000022925,NA,ERX1170036,PRJEB11419
b08e0d783147,10317.000022948,NA,ERX1170037,PRJEB11419
e28035b657d0,10317.000023039,NA,ERX1170043,PRJEB11419
798b4482acf4,10317.000023043,NA,ERX1170044,PRJEB11419
6662b43a4939,10317.000023052,NA,ERX1170046,PRJEB11419
5c1cc34bff6e,10317.000023053,NA,ERX1170047,PRJEB11419
197c9002cc53,10317.000023075,NA,ERX1170050,PRJEB11419
9a2d6005a6b5,10317.000023245,NA,ERX1170056,PRJEB11419
6ea19f69466c,10317.000023299,NA,ERX1170057,PRJEB11419
ace7e5020692,10317.000023300,NA,ERX1170058,PRJEB11419
b55306114c42,10317.000023301,NA,ERX1170059,PRJEB11419
f375cef03435,10317.000023330,NA,ERX1170061,PRJEB11419
40a49b56626e,10317.000023413,NA,ERX1170078,PRJEB11419
6ae6401e47ac,10317.000023515,NA,ERX1904105,PRJEB11419
054bf9425227,10317.000023619,NA,ERX1170081,PRJEB11419
b1b6bb36f788,10317.000023620,NA,ERX1170082,PRJEB11419
ea7c38c02886,10317.000023624,NA,ERX1170084,PRJEB11419
40f20ba97b5d,10317.000023779,NA,ERX1170085,PRJEB11419
6dc60456470c,10317.000023780,NA,ERX1170086,PRJEB11419
b976490e7a6c,10317.000023783,NA,ERX1170087,PRJEB11419
a7c820d30990,10317.000023784,NA,ERX1170088,PRJEB11419
