bioproject_id,primer_bac,primer_euk,set1bac,set2bac,set1fun,set2fun
PRJEB31590,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJEB30970,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA287840,V3-V4,18S-V1-V3,V1-V4,V3-V5,"NA","NA"
PRJEB11419,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJEB32265,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA478949,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA241408_PRJNA522449,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJEB23282,V4-V5,ITS2,"NA",V3-V5,"NA",ITS2
PRJNA606949,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA450848,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA418896,V3-V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA550037,V3-V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA561410_PRJNA561568,V3-V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA415280_PRJNA415285,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA517449,V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA526458,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA492720,V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA528359,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA282687,V1-V2,ITS1,V1-V4,"NA",ITS1,"NA"
PRJNA324410,V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA496065,V1-V2,ITS1,V1-V4,"NA",ITS1,"NA"
PRJNA271113,V1-V2,ITS1,V1-V4,"NA",ITS1,"NA"
PRJNA359237,V1-V2,ITS1-ITS2,V1-V4,"NA",ITS1,ITS2
PRJNA473079,V4,ITS2,V1-V4,V3-V5,"NA",ITS2
PRJNA263505,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
PRJNA406830,V4-V5,ITS2,"NA",V3-V5,"NA",ITS2
PRJNA432446,V3-V4,ITS1,V1-V4,V3-V5,ITS1,"NA"
